LOCATIE gegevens
NITG-nr	X-coord	Y-coord	Coordinaat systeem	Kaartblad	Bepaling locatie	Maaiveldhoogte (m tov NAP)	Bepaling maaiveldhoogte	OLGA-nr	RIVM-nr	Aantal analyses	Meetnet	Indeling	
B12B0135	239950	567025	Rijksdriehoeksmeting	12B		1.8		12BA3135	22	41			

KWALITEIT gegevens VLOEIBAAR
NITG-nr	Monster datum	Monster-nr	Monster apparatuur	Mengmonster	Bovenkant monster (cm tov MV)	Onderkant monster (cm tov MV)	Analyse datum	111CL3EA (ug/l)	112CL3EA (ug/l)	11DCEa (ug/l)	12CL2PA (ug/l)	12DCEa (ug/l)	2,4-D (ug/l)	24DNP (ug/l)	Abamectine (ug/l)	Al (mg/m3)	Al (ug/l)	As (mg/m3)	As (ug/l)	Atrazine (ug/l)	B (mg/m3)	BAM (2,6-dichloorbenzamide) (ug/l)	Ba (mg/m3)	Bentazon (ug/l)	Broompropylaat (ug/l)	Buffercapaciteit pH 4.3 (mmol/l)	Bupirimaat (ug/l)	Butocarboxim (ug/l)	Butocarboxim-SO (ug/l)	C12DCEe (ug/l)	CH4Cl2 (ug/l)	CL3MA (ug/l)	CO3-- (mg/l)	Ca (mg/l)	Ca (ug/l)	Ca++ (g/m3)	Cd (mg/m3)	Cd (ug/l)	Cl- (g/m3)	Cl- (mg/l)	Co (mg/m3)	Cr (mg/m3)	Cr (ug/l)	Cu (mg/m3)	Cu (ug/l)	DCBN (ug/l)	DMST (ug/l)	DNOC (ug/l)	DOC_C (g/m3)	Diazinon (ug/l)	EC(5)_veld (mS/m)	EC-lab20C (uS/cm)	EC25C (mS/m)	ECVELD20C (uS/cm)	EOX (umol/m3)	Etridiazool (ug/l)	Fe (g/m3)	Fe (ug/l)	H+ (-)	H+(5)_veld (-)	HCO3- (g/m3)	HCO3-_veld (g/m3)	HCO3-lab (mg/l)	HCO3_lab (mg/l)	HTI (4-hydroxy-2,5,6-trichloorisoftalonitril (ug/l)	Hexythiazox (ug/l)	Hg (ug/l)	Imazalil (ug/l)	K (mg/l)	K (ug/l)	K+ (g/m3)	KMnO4_O (g/m3)	MCPA (ug/l)	MCPP (ug/l)	Mg (mg/l)	Mg (ug/l)	Mg++ (g/m3)	Mn (g/m3)	Mn (ug/l)	NH4 (mgN/l)	NH4+_N (g/m3)	NO2 (mgN/l)	NO3 (mgN/l)	NO3-_N (g/m3)	Na (mg/l)	Na (ug/l)	Na+ (g/m3)	Ni (mg/m3)	Ni (ug/l)	P-tot_P (g/m3)	P-totaal (mgP/l)	PO4---_P (g/m3)	Pb (mg/m3)	Pb (ug/l)	Pencycuron (ug/l)	Pirimifos-methyl (ug/l)	Propiconazool (ug/l)	SO4 (mg/l)	SO4-- (g/m3)	SiO2_Si (g/m3)	Sr (mg/m3)	T(5)_veld (C)	T12CL2EE (ug/l)	T4CEe (ug/l)	T4CMa (ug/l)	TCEe (ug/l)	TOC_C (g/m3)	Temp-lab (C)	Temp-veld (C)	Terbutylazine (ug/l)	Tg (TU)	V (mg/m3)	VOX (umol/m3)	Vinczln (ug/l)	Zn (mg/m3)	Zn (ug/l)	aldicarb (ug/l)	aldicarbsulfon (ug/l)	aldicarbsulfoxide (ug/l)	aminomethylfosfonzuur (AMPA) (ug/l)	carbaryl (ug/l)	carbendazim (ug/l)	carbofuran (ug/l)	chloorprofam (ug/l)	chloridazon (ug/l)	cycloxydim (ug/l)	diethyltoluamide (DEET) (ug/l)	dimethoaat (ug/l)	diuron (ug/l)	ethiofencarb (ug/l)	ethofumesaat (ug/l)	fenamifos (ug/l)	fluroxypyr (ug/l)	flutolanil (ug/l)	furalaxyl (ug/l)	glyfosaat (ug/l)	imidacloprid (ug/l)	isoproturon (ug/l)	linuron (ug/l)	metalaxyl (ug/l)	metamitron (ug/l)	metazachloor (ug/l)	methabenzthiazuron (ug/l)	methiocarb (ug/l)	methiocarbsulfon (ug/l)	methomyl (ug/l)	metolachloor (ug/l)	metoxuron (ug/l)	opgelost fosfaat als P (mgP/l)	oxamyl (ug/l)	pH-lab (-)	pH-veld (-)	pirimicarb (ug/l)	prochloraz (ug/l)	procymidon (ug/l)	propoxur (ug/l)	propyzamide (ug/l)	prosulfocarb (ug/l)	pyrimethanil (ug/l)	simazine (ug/l)	som C+T dichlooretheen (ug/l)	som chlooralifaten (ug/l)	tebuconazool (ug/l)	tolclofos-methyl (ug/l)	
B12B0135	30-07-2002	C2002-07-8107		nee	330.0	530.0	30-07-2002									1052.22		<0.15					15.106													40.481	1.045		121.239			<1.04		3.114							87.5						12.717			4.45		0									39.647						18.476	1.954			1.583			<0.028			49.681	57.293		<0.062									186.164		190.135	9.5													85.007																																																		
B12B0135	30-07-2002	C2002-07-8108		nee	1780.0	1980.0	30-07-2002									<53.96		0.375					61.799													12.104	0.056		18.009			<1.04		<1.271							18.7						0.491			5.95		53.575									1.29						3.841	0.11			0.042			<0.028			17.38	3.334		<0.062									12.008		59.582	9.7													<13.078																																																		
B12B0135	18-10-2001	C2001-10-8242		nee	330.0	530.0	18-10-2001									539.6		<0.15					19.226													31.623	1.102		102.096			<1.04		2.701							84.5						3.608			4.58		0									72.296						14.221	1.388			2.508			2.144			39.313	39.522		<0.062									171.275		154.211	9.5													71.929																																																		
B12B0135	06-09-2000	C2000-09-8019		nee	330.0	530.0	06-09-2000									404.7		<0.15					28.839													17.755	0.528		74.941			<1.04		2.872							68.9						0.05			4.39		0									86.333						7.22	1.055			2.76			17.527			25.933	31.605		<0.062									74.927		92.001	9.5													98.085																																																		
B12B0135	26-10-1999	C1999-10-8162		nee	330.0	530.0	26-10-1999									507.224		<0.15					19.089													28.144	0.686		95.928			<0.702		2.561							82.4						4.959			4.22		0									62.364						12.787	1.274			2.816			2.228			40.049	27.772		<0.062									154.272		150.706	10													39.234																																																		
B12B0135	29-07-1998	C1998-07-1091		nee	330.0	530.0	29-07-1998									992.864		<0.15					19.776													37.058	0.629		119.183			<0.728		3.559							87.9						27.495			4.28		0									46.685						17.6	1.72			2.172			5.142			43.704	28.699		<0.062									178.96		203.278	9.6													32.695																																																		
B12B0135	29-07-1998	C1998-07-1092		nee	1780.0	1980.0	29-07-1998									<13.49		0.3					86.381													19.17	<0.101		20.136			<0.728		<0.699							24.2						0.586			6.16		83.67									1.447						5.737	0.14			0.042			<0.028			21.358	3.111		<0.062									17.579		99.011	9.9													<6.539																																																		
B12B0135	22-09-1997	C1997-09-1179		nee	330.0	530.0	22-09-1997									1721.324		<0.15			15.134		17.578													45.936	0.888		142.225			<0.728		4.449							87.9						33.002			4.25		0									39.335						21.368	2.055			2.003			4.903			46.601	49.593		<0.062									193.561		243.584	10.5													52.312																																																		
B12B0135	02-07-1996	C1996-07-1002		nee	1780.0	1980.0	02-07-1996									<13.49		0.3					70.725													13.984	<0.056		18.824			<0.702		<0.699							23.6						0.313			6.07		61.56									1.251						5.3	0.094			0.028			0.112			18.944	2.324		<0.062									14.889		77.106	9.7													<6.539																																																		
B12B0135	02-07-1996	C1996-07-1001		nee	330.0	530.0	02-07-1996									1996.52		<0.15					28.29													52.064	0.967		164.488			<0.702		5.669							121.1						11.511			3.96											62.56						21.441	2.391			2.718			21.8			68.717	56.202		<0.062									170.987		277.755	8.8													85.007																																																		
B12B0135	22-03-1995	C1995-03-1151		nee	330.0	530.0	22-03-1995									1761.794		0.15					26.917													50.777	1.057		182.117			0.676		4.449							97.1						18.95			4.44	5.492										51.338						19.91	2.988			2.368			12.736			64.119	56.636		<0.062									151.64		251.469	8.6													98.085																																																		
B12B0135	22-03-1995	C1995-03-1152		nee	1780.0	1980.0	22-03-1995									59.356		0.45					62.622													12	<0.045		18.689			<0.26		<0.635							18.1						0.436			5.98	55.528										1.212						3.987	0.093			0.028			0.064			17.978	2.23		<0.062									13.055		63.086	8.9													<6.539																																																		
B12B0135	07-04-1994	C1994-04-1035		nee	1780.0	1980.0	07-04-1994									26.98							72.098													15.415	<0.045		20.674					0.635					1.225		21.2						0.452			5.97											1.29						4.133	0.104			0.042			0.119			19.863			<0.062			<0.207						16.013		71.848	9.6													<6.539																																																		
B12B0135	07-04-1994	C1994-04-1034		nee	330.0	530.0	07-04-1994									1583.726							34.058													60.417	1.192		157.029					5.084					8.335		109.2						22.446			4.12											56.5						22.9	3.36			2.914			23.129			51.773			<0.062			1.492						166.847		296.156	8.9													111.163																																																		
B12B0135	18-05-1993	C1993-05-1207		nee	1780.0	1980.0	18-05-1993									13.49		0.3					90.638													20.497			22.319										1.393		24.9						0.514			6.08											1.408						5.421	0.125						0.074			21.726			<0.062									24.121		94.63	9.6													<6.539																																																		
