Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,18-03-2020,,,,,,,,
Gegevens beschikbaar:,07-09-2011,tot:,12-06-2019,,,,,,,,
Datum: ,18-03-2020,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B17E2221,002,,242136,545317,1916,23-06-2011,23-06-2011,12-06-2019,1870,-46,1270,1170


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B17E2221,002,07-09-2011,227,273,1643,,,,,,
B17E2221,002,05-10-2011,240,286,1630,,,,,,
B17E2221,002,06-10-2011,239,285,1631,,,,,,
B17E2221,002,07-10-2011,237,283,1633,,,,,,
B17E2221,002,08-10-2011,235,281,1635,,,,,,
B17E2221,002,09-10-2011,233,279,1637,,,,,,
B17E2221,002,10-10-2011,229,275,1641,,,,,,
B17E2221,002,11-10-2011,224,270,1646,,,,,,
B17E2221,002,12-10-2011,220,266,1650,,,,,,
B17E2221,002,13-10-2011,218,264,1652,,,,,,
B17E2221,002,14-10-2011,217,263,1653,,,,,,
B17E2221,002,15-10-2011,216,262,1654,,,,,,
B17E2221,002,16-10-2011,217,263,1653,,,,,,
B17E2221,002,17-10-2011,218,264,1652,,,,,,
B17E2221,002,18-10-2011,217,263,1653,,,,,,
B17E2221,002,19-10-2011,217,263,1653,,,,,,
B17E2221,002,20-10-2011,218,264,1652,,,,,,
B17E2221,002,21-10-2011,217,263,1653,,,,,,
B17E2221,002,22-10-2011,217,263,1653,,,,,,
B17E2221,002,23-10-2011,218,264,1652,,,,,,
B17E2221,002,24-10-2011,219,265,1651,,,,,,
B17E2221,002,25-10-2011,221,267,1649,,,,,,
B17E2221,002,26-10-2011,223,269,1647,,,,,,
B17E2221,002,27-10-2011,224,270,1646,,,,,,
B17E2221,002,28-10-2011,227,273,1643,,,,,,
B17E2221,002,29-10-2011,227,273,1643,,,,,,
B17E2221,002,30-10-2011,228,274,1642,,,,,,
B17E2221,002,31-10-2011,229,275,1641,,,,,,
B17E2221,002,01-11-2011,229,275,1641,,,,,,
B17E2221,002,02-11-2011,230,276,1640,,,,,,
B17E2221,002,03-11-2011,230,276,1640,,,,,,
B17E2221,002,04-11-2011,232,278,1638,,,,,,
B17E2221,002,05-11-2011,233,279,1637,,,,,,
B17E2221,002,06-11-2011,235,281,1635,,,,,,
B17E2221,002,07-11-2011,235,281,1635,,,,,,
B17E2221,002,08-11-2011,236,282,1634,,,,,,
B17E2221,002,09-11-2011,237,283,1633,,,,,,
B17E2221,002,10-11-2011,238,284,1632,,,,,,
B17E2221,002,11-11-2011,238,284,1632,,,,,,
B17E2221,002,12-11-2011,240,286,1630,,,,,,
B17E2221,002,13-11-2011,240,286,1630,,,,,,
B17E2221,002,14-11-2011,240,286,1630,,,,,,
B17E2221,002,15-11-2011,241,287,1629,,,,,,
B17E2221,002,16-11-2011,242,288,1628,,,,,,
