Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,18-03-2020,,,,,,,,
Gegevens beschikbaar:,11-12-2008,tot:,12-06-2019,,,,,,,,
Datum: ,18-03-2020,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B17E1513,001,,240303,543239,1550,25-08-2008,25-08-2008,12-06-2019,1605,55,1349,1319


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B17E1513,001,11-12-2008,113,58,1492,,,,,,
B17E1513,001,12-12-2008,116,61,1489,,,,,,
B17E1513,001,13-12-2008,118,63,1487,,,,,,
B17E1513,001,14-12-2008,120,65,1485,,,,,,
B17E1513,001,15-12-2008,120,65,1485,,,,,,
B17E1513,001,16-12-2008,121,66,1484,,,,,,
B17E1513,001,17-12-2008,121,66,1484,,,,,,
B17E1513,001,18-12-2008,123,68,1482,,,,,,
B17E1513,001,19-12-2008,120,65,1485,,,,,,
B17E1513,001,20-12-2008,117,62,1488,,,,,,
B17E1513,001,21-12-2008,120,65,1485,,,,,,
B17E1513,001,22-12-2008,122,67,1483,,,,,,
B17E1513,001,23-12-2008,123,68,1482,,,,,,
B17E1513,001,24-12-2008,124,69,1481,,,,,,
B17E1513,001,25-12-2008,126,71,1479,,,,,,
B17E1513,001,26-12-2008,127,72,1478,,,,,,
B17E1513,001,27-12-2008,127,72,1478,,,,,,
B17E1513,001,28-12-2008,128,73,1477,,,,,,
B17E1513,001,29-12-2008,130,75,1475,,,,,,
B17E1513,001,30-12-2008,130,75,1475,,,,,,
B17E1513,001,31-12-2008,130,75,1475,,,,,,
B17E1513,001,01-01-2009,132,77,1473,,,,,,
