Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,18-03-2020,,,,,,,,
Gegevens beschikbaar:,09-03-2012,tot:,13-06-2019,,,,,,,,
Datum: ,18-03-2020,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B17E2224,001,,241672,545390,1779,08-03-2012,08-03-2012,13-06-2019,1823,44,1763,1663


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B17E2224,001,09-03-2012,146,102,1677,,,,,,
B17E2224,001,10-03-2012,148,104,1675,,,,,,
B17E2224,001,11-03-2012,148,104,1675,,,,,,
B17E2224,001,12-03-2012,148,104,1675,,,,,,
B17E2224,001,13-03-2012,148,104,1675,,,,,,
B17E2224,001,14-03-2012,148,104,1675,,,,,,
B17E2224,001,15-03-2012,148,104,1675,,,,,,
B17E2224,001,16-03-2012,148,104,1675,,,,,,
B17E2224,001,17-03-2012,148,104,1675,,,,,,
B17E2224,001,18-03-2012,148,104,1675,,,,,,
B17E2224,001,19-03-2012,148,104,1675,,,,,,
B17E2224,001,20-03-2012,148,104,1675,,,,,,
B17E2224,001,21-03-2012,148,104,1675,,,,,,
B17E2224,001,22-03-2012,148,104,1675,,,,,,
B17E2224,001,23-03-2012,148,104,1675,,,,,,
B17E2224,001,24-03-2012,148,104,1675,,,,,,
B17E2224,001,25-03-2012,148,104,1675,,,,,,
B17E2224,001,26-03-2012,148,104,1675,,,,,,
B17E2224,001,27-03-2012,148,104,1675,,,,,,
B17E2224,001,28-03-2012,148,104,1675,,,,,,
B17E2224,001,29-03-2012,148,104,1675,,,,,,
B17E2224,001,30-03-2012,148,104,1675,,,,,,
B17E2224,001,31-03-2012,148,104,1675,,,,,,
B17E2224,001,01-04-2012,148,104,1675,,,,,,
B17E2224,001,02-04-2012,148,104,1675,,,,,,
B17E2224,001,03-04-2012,148,104,1675,,,,,,
B17E2224,001,04-04-2012,148,104,1675,,,,,,
B17E2224,001,05-04-2012,148,104,1675,,,,,,
B17E2224,001,06-04-2012,148,104,1675,,,,,,
B17E2224,001,07-04-2012,148,104,1675,,,,,,
B17E2224,001,08-04-2012,148,104,1675,,,,,,
B17E2224,001,09-04-2012,148,104,1675,,,,,,
B17E2224,001,10-04-2012,148,104,1675,,,,,,
B17E2224,001,11-04-2012,148,104,1675,,,,,,
B17E2224,001,12-04-2012,148,104,1675,,,,,,
B17E2224,001,13-04-2012,148,104,1675,,,,,,
B17E2224,001,14-04-2012,148,104,1675,,,,,,
B17E2224,001,15-04-2012,148,104,1675,,,,,,
B17E2224,001,16-04-2012,148,104,1675,,,,,,
B17E2224,001,17-04-2012,148,104,1675,,,,,,
B17E2224,001,18-04-2012,148,104,1675,,,,,,
B17E2224,001,19-04-2012,148,104,1675,,,,,,
B17E2224,001,20-04-2012,148,104,1675,,,,,,
B17E2224,001,21-04-2012,148,104,1675,,,,,,
B17E2224,001,22-04-2012,148,104,1675,,,,,,
B17E2224,001,23-04-2012,148,104,1675,,,,,,
B17E2224,001,24-04-2012,148,104,1675,,,,,,
B17E2224,001,25-04-2012,148,104,1675,,,,,,
B17E2224,001,26-04-2012,148,104,1675,,,,,,
B17E2224,001,27-04-2012,148,104,1675,,,,,,
B17E2224,001,28-04-2012,148,104,1675,,,,,,
B17E2224,001,29-04-2012,145,101,1678,,,,,,
B17E2224,001,30-04-2012,148,104,1675,,,,,,
B17E2224,001,01-05-2012,148,104,1675,,,,,,
B17E2224,001,02-05-2012,148,104,1675,,,,,,
B17E2224,001,03-05-2012,148,104,1675,,,,,,
B17E2224,001,04-05-2012,148,104,1675,,,,,,
B17E2224,001,05-05-2012,148,104,1675,,,,,,
B17E2224,001,06-05-2012,148,104,1675,,,,,,
B17E2224,001,07-05-2012,148,104,1675,,,,,,
B17E2224,001,08-05-2012,148,104,1675,,,,,,
B17E2224,001,09-05-2012,148,104,1675,,,,,,
B17E2224,001,10-05-2012,148,104,1675,,,,,,
B17E2224,001,11-05-2012,148,104,1675,,,,,,
B17E2224,001,12-05-2012,148,104,1675,,,,,,
B17E2224,001,13-05-2012,148,104,1675,,,,,,
B17E2224,001,14-05-2012,148,104,1675,,,,,,
B17E2224,001,15-05-2012,148,104,1675,,,,,,
B17E2224,001,16-05-2012,148,104,1675,,,,,,
B17E2224,001,17-05-2012,148,104,1675,,,,,,
B17E2224,001,18-05-2012,148,104,1675,,,,,,
B17E2224,001,19-05-2012,148,104,1675,,,,,,
B17E2224,001,20-05-2012,148,104,1675,,,,,,
B17E2224,001,21-05-2012,148,104,1675,,,,,,
B17E2224,001,22-05-2012,148,104,1675,,,,,,
B17E2224,001,23-05-2012,148,104,1675,,,,,,
B17E2224,001,24-05-2012,148,104,1675,,,,,,
B17E2224,001,25-05-2012,148,104,1675,,,,,,
B17E2224,001,26-05-2012,148,104,1675,,,,,,
B17E2224,001,27-05-2012,148,104,1675,,,,,,
B17E2224,001,28-05-2012,148,104,1675,,,,,,
B17E2224,001,29-05-2012,148,104,1675,,,,,,
B17E2224,001,30-05-2012,148,104,1675,,,,,,
B17E2224,001,31-05-2012,148,104,1675,,,,,,
B17E2224,001,01-06-2012,148,104,1675,,,,,,
B17E2224,001,02-06-2012,148,104,1675,,,,,,
B17E2224,001,03-06-2012,148,104,1675,,,,,,
B17E2224,001,04-06-2012,148,104,1675,,,,,,
B17E2224,001,05-06-2012,148,104,1675,,,,,,
B17E2224,001,06-06-2012,148,104,1675,,,,,,
B17E2224,001,07-06-2012,148,104,1675,,,,,,
B17E2224,001,08-06-2012,148,104,1675,,,,,,
B17E2224,001,09-06-2012,148,104,1675,,,,,,
B17E2224,001,10-06-2012,148,104,1675,,,,,,
B17E2224,001,11-06-2012,148,104,1675,,,,,,
B17E2224,001,12-06-2012,148,104,1675,,,,,,
B17E2224,001,13-06-2012,148,104,1675,,,,,,
B17E2224,001,14-06-2012,148,104,1675,,,,,,
B17E2224,001,15-06-2012,148,104,1675,,,,,,
B17E2224,001,16-06-2012,148,104,1675,,,,,,
B17E2224,001,17-06-2012,148,104,1675,,,,,,
B17E2224,001,18-06-2012,148,104,1675,,,,,,
B17E2224,001,19-06-2012,148,104,1675,,,,,,
B17E2224,001,20-06-2012,148,104,1675,,,,,,
B17E2224,001,21-06-2012,148,104,1675,,,,,,
B17E2224,001,22-06-2012,148,104,1675,,,,,,
B17E2224,001,23-06-2012,148,104,1675,,,,,,
B17E2224,001,24-06-2012,148,104,1675,,,,,,
B17E2224,001,25-06-2012,148,104,1675,,,,,,
B17E2224,001,26-06-2012,148,104,1675,,,,,,
B17E2224,001,27-06-2012,148,104,1675,,,,,,
B17E2224,001,28-06-2012,,,,D,,,,,
B17E2224,001,29-06-2012,,,,D,,,,,
B17E2224,001,30-06-2012,,,,D,,,,,
B17E2224,001,01-07-2012,,,,D,,,,,
B17E2224,001,02-07-2012,,,,D,,,,,
B17E2224,001,03-07-2012,,,,D,,,,,
B17E2224,001,04-07-2012,,,,D,,,,,
B17E2224,001,05-07-2012,,,,D,,,,,
B17E2224,001,06-07-2012,,,,D,,,,,
B17E2224,001,07-07-2012,,,,D,,,,,
B17E2224,001,08-07-2012,,,,D,,,,,
B17E2224,001,09-07-2012,,,,D,,,,,
B17E2224,001,10-07-2012,,,,D,,,,,
B17E2224,001,11-07-2012,,,,D,,,,,
B17E2224,001,12-07-2012,,,,D,,,,,
B17E2224,001,13-07-2012,,,,D,,,,,
B17E2224,001,14-07-2012,,,,D,,,,,
B17E2224,001,15-07-2012,,,,D,,,,,
B17E2224,001,16-07-2012,,,,D,,,,,
B17E2224,001,17-07-2012,,,,D,,,,,
B17E2224,001,18-07-2012,,,,D,,,,,
B17E2224,001,19-07-2012,,,,D,,,,,
B17E2224,001,20-07-2012,,,,D,,,,,
B17E2224,001,21-07-2012,,,,D,,,,,
B17E2224,001,22-07-2012,,,,D,,,,,
B17E2224,001,23-07-2012,,,,D,,,,,
B17E2224,001,24-07-2012,,,,D,,,,,
B17E2224,001,25-07-2012,,,,D,,,,,
B17E2224,001,26-07-2012,,,,D,,,,,
B17E2224,001,27-07-2012,,,,D,,,,,
B17E2224,001,28-07-2012,,,,D,,,,,
B17E2224,001,29-07-2012,,,,D,,,,,
B17E2224,001,30-07-2012,,,,D,,,,,
B17E2224,001,31-07-2012,,,,D,,,,,
B17E2224,001,01-08-2012,,,,D,,,,,
B17E2224,001,02-08-2012,,,,D,,,,,
B17E2224,001,03-08-2012,,,,D,,,,,
B17E2224,001,04-08-2012,,,,D,,,,,
B17E2224,001,05-08-2012,,,,D,,,,,
B17E2224,001,06-08-2012,,,,D,,,,,
B17E2224,001,07-08-2012,,,,D,,,,,
B17E2224,001,08-08-2012,,,,D,,,,,
B17E2224,001,09-08-2012,,,,D,,,,,
B17E2224,001,10-08-2012,,,,D,,,,,
B17E2224,001,11-08-2012,,,,D,,,,,
B17E2224,001,12-08-2012,,,,D,,,,,
B17E2224,001,13-08-2012,,,,D,,,,,
B17E2224,001,14-08-2012,,,,D,,,,,
B17E2224,001,15-08-2012,,,,D,,,,,
B17E2224,001,16-08-2012,,,,D,,,,,
B17E2224,001,17-08-2012,,,,D,,,,,
B17E2224,001,18-08-2012,,,,D,,,,,
B17E2224,001,19-08-2012,,,,D,,,,,
B17E2224,001,20-08-2012,,,,D,,,,,
B17E2224,001,21-08-2012,,,,D,,,,,
B17E2224,001,22-08-2012,,,,D,,,,,
B17E2224,001,23-08-2012,,,,D,,,,,
B17E2224,001,24-08-2012,,,,D,,,,,
B17E2224,001,25-08-2012,,,,D,,,,,
B17E2224,001,26-08-2012,,,,D,,,,,
B17E2224,001,27-08-2012,,,,D,,,,,
B17E2224,001,28-08-2012,,,,D,,,,,
B17E2224,001,29-08-2012,,,,D,,,,,
B17E2224,001,30-08-2012,,,,D,,,,,
B17E2224,001,31-08-2012,,,,D,,,,,
B17E2224,001,01-09-2012,,,,D,,,,,
B17E2224,001,02-09-2012,,,,D,,,,,
B17E2224,001,03-09-2012,,,,D,,,,,
B17E2224,001,04-09-2012,,,,D,,,,,
B17E2224,001,05-09-2012,,,,D,,,,,
B17E2224,001,06-09-2012,,,,D,,,,,
B17E2224,001,07-09-2012,,,,D,,,,,
B17E2224,001,08-09-2012,,,,D,,,,,
B17E2224,001,09-09-2012,,,,D,,,,,
