Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,18-03-2020,,,,,,,,
Gegevens beschikbaar:,22-04-2011,tot:,12-06-2019,,,,,,,,
Datum: ,18-03-2020,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B17E1542,003,,240570,543212,1624,03-01-2011,03-01-2011,12-06-2019,1694,70,-1074,-1274


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B17E1542,003,22-04-2011,177,107,1517,,,,,,
B17E1542,003,23-04-2011,178,108,1516,,,,,,
B17E1542,003,24-04-2011,179,109,1515,,,,,,
B17E1542,003,25-04-2011,180,110,1514,,,,,,
B17E1542,003,26-04-2011,180,110,1514,,,,,,
B17E1542,003,27-04-2011,180,110,1514,,,,,,
B17E1542,003,28-04-2011,180,110,1514,,,,,,
B17E1542,003,29-04-2011,181,111,1513,,,,,,
B17E1542,003,30-04-2011,182,112,1512,,,,,,
B17E1542,003,01-05-2011,183,113,1511,,,,,,
B17E1542,003,02-05-2011,183,113,1511,,,,,,
B17E1542,003,03-05-2011,184,114,1510,,,,,,
B17E1542,003,04-05-2011,184,114,1510,,,,,,
B17E1542,003,05-05-2011,184,114,1510,,,,,,
B17E1542,003,06-05-2011,184,114,1510,,,,,,
B17E1542,003,07-05-2011,186,116,1508,,,,,,
B17E1542,003,08-05-2011,187,117,1507,,,,,,
B17E1542,003,09-05-2011,188,118,1506,,,,,,
B17E1542,003,10-05-2011,187,117,1507,,,,,,
B17E1542,003,11-05-2011,185,115,1509,,,,,,
B17E1542,003,12-05-2011,186,116,1508,,,,,,
B17E1542,003,13-05-2011,188,118,1506,,,,,,
B17E1542,003,14-05-2011,187,117,1507,,,,,,
B17E1542,003,15-05-2011,188,118,1506,,,,,,
B17E1542,003,16-05-2011,186,116,1508,,,,,,
B17E1542,003,17-05-2011,184,114,1510,,,,,,
B17E1542,003,18-05-2011,183,113,1511,,,,,,
B17E1542,003,19-05-2011,184,114,1510,,,,,,
B17E1542,003,20-05-2011,185,115,1509,,,,,,
B17E1542,003,21-05-2011,186,116,1508,,,,,,
B17E1542,003,22-05-2011,186,116,1508,,,,,,
B17E1542,003,23-05-2011,187,117,1507,,,,,,
B17E1542,003,24-05-2011,189,119,1505,,,,,,
B17E1542,003,25-05-2011,190,120,1504,,,,,,
B17E1542,003,26-05-2011,191,121,1503,,,,,,
B17E1542,003,27-05-2011,191,121,1503,,,,,,
B17E1542,003,28-05-2011,190,120,1504,,,,,,
B17E1542,003,29-05-2011,190,120,1504,,,,,,
B17E1542,003,30-05-2011,192,122,1502,,,,,,
B17E1542,003,31-05-2011,190,120,1504,,,,,,
B17E1542,003,01-06-2011,191,121,1503,,,,,,
B17E1542,003,02-06-2011,193,123,1501,,,,,,
B17E1542,003,03-06-2011,193,123,1501,,,,,,
B17E1542,003,04-06-2011,194,124,1500,,,,,,
B17E1542,003,05-06-2011,194,124,1500,,,,,,
B17E1542,003,06-06-2011,192,122,1502,,,,,,
B17E1542,003,07-06-2011,192,122,1502,,,,,,
B17E1542,003,08-06-2011,191,121,1503,,,,,,
B17E1542,003,09-06-2011,194,124,1500,,,,,,
B17E1542,003,10-06-2011,196,126,1498,,,,,,
B17E1542,003,11-06-2011,196,126,1498,,,,,,
B17E1542,003,12-06-2011,196,126,1498,,,,,,
B17E1542,003,13-06-2011,197,127,1497,,,,,,
B17E1542,003,14-06-2011,198,128,1496,,,,,,
B17E1542,003,15-06-2011,199,129,1495,,,,,,
B17E1542,003,16-06-2011,196,126,1498,,,,,,
B17E1542,003,17-06-2011,195,125,1499,,,,,,
B17E1542,003,18-06-2011,194,124,1500,,,,,,
B17E1542,003,19-06-2011,190,120,1504,,,,,,
B17E1542,003,20-06-2011,188,118,1506,,,,,,
B17E1542,003,21-06-2011,185,115,1509,,,,,,
B17E1542,003,22-06-2011,187,117,1507,,,,,,
B17E1542,003,23-06-2011,187,117,1507,,,,,,
B17E1542,003,24-06-2011,184,114,1510,,,,,,
B17E1542,003,25-06-2011,184,114,1510,,,,,,
B17E1542,003,26-06-2011,186,116,1508,,,,,,
B17E1542,003,27-06-2011,188,118,1506,,,,,,
B17E1542,003,28-06-2011,191,121,1503,,,,,,
B17E1542,003,29-06-2011,190,120,1504,,,,,,
B17E1542,003,30-06-2011,191,121,1503,,,,,,
B17E1542,003,01-07-2011,192,122,1502,,,,,,
B17E1542,003,02-07-2011,191,121,1503,,,,,,
B17E1542,003,03-07-2011,191,121,1503,,,,,,
B17E1542,003,04-07-2011,192,122,1502,,,,,,
B17E1542,003,05-07-2011,193,123,1501,,,,,,
B17E1542,003,06-07-2011,195,125,1499,,,,,,
B17E1542,003,07-07-2011,195,125,1499,,,,,,
B17E1542,003,08-07-2011,197,127,1497,,,,,,
B17E1542,003,09-07-2011,197,127,1497,,,,,,
B17E1542,003,10-07-2011,199,129,1495,,,,,,
B17E1542,003,11-07-2011,199,129,1495,,,,,,
B17E1542,003,12-07-2011,200,130,1494,,,,,,
B17E1542,003,13-07-2011,172,102,1522,,,,,,
B17E1542,003,14-07-2011,169,99,1525,,,,,,
B17E1542,003,15-07-2011,166,96,1528,,,,,,
B17E1542,003,16-07-2011,171,101,1523,,,,,,
B17E1542,003,17-07-2011,159,89,1535,,,,,,
B17E1542,003,18-07-2011,162,92,1532,,,,,,
