Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,18-03-2020,,,,,,,,
Gegevens beschikbaar:,11-12-2008,tot:,13-06-2019,,,,,,,,
Datum: ,18-03-2020,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B17E1510,001,,240740,543581,1567,26-08-2008,26-08-2008,13-06-2019,1620,53,1444,1414


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B17E1510,001,11-12-2008,53,0,1567,,,,,,
B17E1510,001,12-12-2008,54,1,1566,,,,,,
B17E1510,001,13-12-2008,56,3,1564,,,,,,
B17E1510,001,14-12-2008,58,5,1562,,,,,,
B17E1510,001,15-12-2008,56,3,1564,,,,,,
B17E1510,001,16-12-2008,56,3,1564,,,,,,
B17E1510,001,17-12-2008,56,3,1564,,,,,,
B17E1510,001,18-12-2008,57,4,1563,,,,,,
B17E1510,001,19-12-2008,56,3,1564,,,,,,
B17E1510,001,20-12-2008,54,1,1566,,,,,,
B17E1510,001,21-12-2008,55,2,1565,,,,,,
B17E1510,001,22-12-2008,56,3,1564,,,,,,
B17E1510,001,23-12-2008,57,4,1563,,,,,,
B17E1510,001,24-12-2008,57,4,1563,,,,,,
B17E1510,001,25-12-2008,58,5,1562,,,,,,
B17E1510,001,26-12-2008,60,7,1560,,,,,,
B17E1510,001,27-12-2008,64,11,1556,,,,,,
B17E1510,001,28-12-2008,67,14,1553,,,,,,
B17E1510,001,29-12-2008,70,17,1550,,,,,,
B17E1510,001,30-12-2008,74,21,1546,,,,,,
B17E1510,001,31-12-2008,78,25,1542,,,,,,
B17E1510,001,01-01-2009,76,23,1544,,,,,,
B17E1510,001,02-01-2009,73,20,1547,,,,,,
B17E1510,001,03-01-2009,77,24,1543,,,,,,
B17E1510,001,04-01-2009,70,17,1550,,,,,,
B17E1510,001,05-01-2009,60,7,1560,,,,,,
B17E1510,001,06-01-2009,68,15,1552,,,,,,
B17E1510,001,07-01-2009,74,21,1546,,,,,,
