Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,18-03-2020,,,,,,,,
Gegevens beschikbaar:,14-04-2015,tot:,28-08-2019,,,,,,,,
Datum: ,18-03-2020,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B17E2244,001,,240586,543605,1562,17-12-2014,17-12-2014,28-08-2019,1608,46,864,764


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B17E2244,001,14-04-2015,38,-8,1570,,,,,,
B17E2244,001,28-04-2015,45,-1,1563,,,,,,
B17E2244,001,13-05-2015,47,1,1561,,,,,,
B17E2244,001,28-05-2015,52,6,1556,,,,,,
B17E2244,001,14-06-2015,66,20,1542,,,,,,
B17E2244,001,30-06-2015,92,46,1516,,,,,,
B17E2244,001,14-08-2015,55,9,1553,,,,,,
B17E2244,001,28-08-2015,42,-4,1566,,,,,,
B17E2244,001,16-09-2015,41,-5,1567,,,,,,
B17E2244,001,29-09-2015,48,2,1560,,,,,,
B17E2244,001,14-10-2015,53,7,1555,,,,,,
B17E2244,001,28-10-2015,49,3,1559,,,,,,
B17E2244,001,16-11-2015,31,-15,1577,,,,,,
B17E2244,001,01-12-2015,28,-18,1580,,,,,,
B17E2244,001,14-12-2015,30,-16,1578,,,,,,
B17E2244,001,28-12-2015,,,,N,,,,,
B17E2244,001,14-01-2016,31,-15,1577,,,,,,
B17E2244,001,28-01-2016,,,,N,,,,,
B17E2244,001,14-02-2016,,,,N,,,,,
B17E2244,001,28-02-2016,31,-15,1577,,,,,,
B17E2244,001,14-03-2016,30,-16,1578,,,,,,
B17E2244,001,28-03-2016,,,,N,,,,,
B17E2244,001,14-04-2016,42,-4,1566,,,,,,
B17E2244,001,28-04-2016,,,,N,,,,,
B17E2244,001,14-05-2016,54,8,1554,,,,,,
B17E2244,001,28-05-2016,60,14,1548,,,,,,
B17E2244,001,14-06-2016,,,,N,,,,,
B17E2244,001,28-06-2016,65,19,1543,,,,,,
B17E2244,001,14-07-2016,65,19,1543,,,,,,
B17E2244,001,28-07-2016,74,28,1534,,,,,,
B17E2244,001,14-08-2016,,,,N,,,,,
B17E2244,001,28-08-2016,,,,N,,,,,
B17E2244,001,14-09-2016,100,54,1508,,,,,,
B17E2244,001,28-09-2016,99,53,1509,,,,,,
B17E2244,001,14-10-2016,110,64,1498,,,,,,
B17E2244,001,28-10-2016,87,41,1521,,,,,,
B17E2244,001,14-11-2016,85,39,1523,,,,,,
B17E2244,001,01-12-2016,83,37,1525,,,,,,
B17E2244,001,14-12-2016,,,,N,,,,,
B17E2244,001,28-12-2016,,,,N,,,,,
B17E2244,001,14-01-2017,,,,N,,,,,
B17E2244,001,28-01-2017,,,,N,,,,,
B17E2244,001,14-02-2017,52,6,1556,,,,,,
B17E2244,001,01-03-2017,40,-6,1568,,,,,,
B17E2244,001,15-03-2017,45,-1,1563,,,,,,
B17E2244,001,29-03-2017,45,-1,1563,,,,,,
B17E2244,001,14-04-2017,53,7,1555,,,,,,
B17E2244,001,01-05-2017,70,24,1538,,,,,,
B17E2244,001,14-05-2017,75,29,1533,,,,,,
B17E2244,001,29-05-2017,102,56,1506,,,,,,
B17E2244,001,14-06-2017,104,58,1504,,,,,,
